year,date,doy,plot_id,sensor_type,sensor_name,sensor_depth_cm,sensor_unit,value
2018,2018-05-24,144,2018_44,5TM,5TM Moisture/Temp,15,soilVWC,0.36307459076245624
2018,2018-05-24,144,2018_44,5TM,5TM Moisture/Temp,45,soilT_C,17.139999643961588
2018,2018-05-24,144,2018_44,5TM,5TM Moisture/Temp,45,soilVWC,0.3751245339711507
2018,2018-05-24,144,2018_46,5TM,5TM Moisture/Temp,15,soilT_C,22.25999984741211
2018,2018-05-24,144,2018_46,5TM,5TM Moisture/Temp,15,soilVWC,0.17700915435949963
2018,2018-05-24,144,2018_46,5TM,5TM Moisture/Temp,45,soilT_C,17.91333351135254
2018,2018-05-24,144,2018_46,5TM,5TM Moisture/Temp,45,soilVWC,0.23040967186292013
2018,2018-05-25,145,2018_13,5TM,5TM Moisture/Temp,15,soilT_C,23.716666618982952
2018,2018-05-25,145,2018_13,5TM,5TM Moisture/Temp,15,soilVWC,0.21199976901213327
2018,2018-05-25,145,2018_13,5TM,5TM Moisture/Temp,45,soilT_C,19.34166693687439
2018,2018-05-25,145,2018_13,5TM,5TM Moisture/Temp,45,soilVWC,0.16521967512865862
2018,2018-05-25,145,2018_18,5TM,5TM Moisture/Temp,15,soilT_C,23.887499968210857
2018,2018-05-25,145,2018_18,5TM,5TM Moisture/Temp,15,soilVWC,0.19639277023573717
2018,2018-05-25,145,2018_18,5TM,5TM Moisture/Temp,45,soilT_C,18.575000047683716
2018,2018-05-25,145,2018_18,5TM,5TM Moisture/Temp,45,soilVWC,0.2085992613186439
2018,2018-05-25,145,2018_24,5TM,5TM Moisture/Temp,15,soilT_C,23.170833269755047
2018,2018-05-25,145,2018_24,5TM,5TM Moisture/Temp,15,soilVWC,0.24468569519619146
2018,2018-05-25,145,2018_24,5TM,5TE Moisture/Temp/EC,45,soilT_C,17.866666714350384
2018,2018-05-25,145,2018_24,5TM,5TE Moisture/Temp/EC,45,soilVWC,0.26539939269423485
2018,2018-05-25,145,2018_24,5TM,5TE Moisture/Temp/EC,45,mS/cm EC Bulk,23.100000381469727
2018,2018-05-25,145,2018_28,5TM,5TM Moisture/Temp,15,soilT_C,23.40833330154419
2018,2018-05-25,145,2018_28,5TM,5TM Moisture/Temp,15,soilVWC,0.18994822104771933
2018,2018-05-25,145,2018_28,5TM,5TM Moisture/Temp,45,soilT_C,17.450000047683716
2018,2018-05-25,145,2018_28,5TM,5TM Moisture/Temp,45,soilVWC,0.2656411478916804
2018,2018-05-25,145,2018_34,5TM,5TM Moisture/Temp,45,soilT_C,18.2416668732961
2018,2018-05-25,145,2018_34,5TM,5TM Moisture/Temp,45,soilVWC,0.2800356137255828
2018,2018-05-25,145,2018_37,5TM,5TM Moisture/Temp,15,soilT_C,24.754166682561237
