plot_id,doy,organ,mass_g,totC_g,totN_g,CN_ratio,N_prct
2013_49,185,cobtassle,NA,NA,NA,NA,NA
2013_14,205,cobtassle,NA,24.202,1.003,24.127,1.8
2013_16,205,cobtassle,NA,15.459,0.555,27.875,1.6
2013_19,205,cobtassle,NA,10.47,0.552,18.962,2.41
2013_25,205,cobtassle,NA,23.686,0.926,25.581,1.75
2013_27,205,cobtassle,NA,9.506,0.483,19.689,2.38
2013_29,205,cobtassle,NA,37.207,1.451,25.645,1.69
2013_32,205,cobtassle,NA,22.622,0.852,26.541,1.64
2013_33,205,cobtassle,NA,12.208,0.517,23.627,1.86
2013_35,205,cobtassle,NA,7.773,0.345,22.501,1.96
2013_42,205,cobtassle,NA,23.054,0.91,25.348,1.69
2013_45,205,cobtassle,NA,7.788,0.386,20.184,2.27
2013_49,205,cobtassle,NA,29.065,1.246,23.333,1.89
2013_14,216,cobtassle,NA,85.959,2.887,29.776,1.5
2013_16,216,cobtassle,NA,70.989,2.203,32.22,1.38
2013_19,216,cobtassle,NA,57.139,1.741,32.827,1.35
2013_25,216,cobtassle,NA,106.612,3.299,32.318,1.38
2013_27,216,cobtassle,NA,57.618,2.078,27.726,1.59
2013_29,216,cobtassle,NA,108.894,3.445,31.611,1.41
2013_32,216,cobtassle,NA,99.879,3.243,30.794,1.45
2013_33,216,cobtassle,NA,66.181,2.065,32.048,1.39
2013_35,216,cobtassle,NA,64.86,2.114,30.687,1.44
2013_42,216,cobtassle,NA,71.969,2.134,33.732,1.32
2013_45,216,cobtassle,NA,62.915,1.751,35.934,1.18
2013_49,216,cobtassle,NA,91.053,2.528,36.012,1.18
2013_14,243,cobtassle,NA,49.734,0.35,142.063,0.3
2013_16,243,cobtassle,NA,43.472,0.363,119.666,0.37
2013_19,243,cobtassle,NA,59.036,0.493,119.806,0.36
2013_25,243,cobtassle,NA,53.82,0.509,105.799,0.43
2013_27,243,cobtassle,NA,51.183,0.487,105.065,0.41
2013_29,243,cobtassle,NA,51.083,0.59,86.589,0.51
2013_32,243,cobtassle,NA,52.289,0.395,132.469,0.33
2013_33,243,cobtassle,NA,48.87,0.425,115.012,0.38
2013_35,243,cobtassle,NA,49.016,0.39,125.634,0.35
2013_42,243,cobtassle,NA,59.5,0.614,96.921,0.4514
2013_45,243,cobtassle,NA,57.26,0.49,116.84,0.3741
2013_49,243,cobtassle,NA,67.748,0.564,120.203,0.3648
2013_14,281,cobtassle,NA,47.73,0.52,91.1,0.45
2013_16,281,cobtassle,NA,43.07,0.54,80.24,0.51
2013_19,281,cobtassle,NA,38.43,0.51,75.43,0.5823
2013_25,281,cobtassle,NA,44.03,0.56,77.98,0.54
2013_27,281,cobtassle,NA,41.13,0.47,87.93,0.48
2013_29,281,cobtassle,NA,59.15,0.81,72.8,0.5702
2013_32,281,cobtassle,NA,53.66,0.57,93.68,0.46
2013_33,281,cobtassle,NA,38.08,0.42,90.5,0.47
2013_35,281,cobtassle,NA,50.23,0.49,102.01,0.4138
2013_42,281,cobtassle,NA,48.08,0.47,102.94,0.4
2013_45,281,cobtassle,NA,44.97,0.44,101.55,0.41
2013_49,281,cobtassle,NA,65.96,0.75,87.6,0.4889
NA,NA,cobtassle,NA,NA,NA,NA,NA
NA,NA,cobtassle,NA,NA,NA,NA,NA
2013_14,153,grain,NA,NA,NA,NA,NA
2013_16,153,grain,NA,NA,NA,NA,NA
2013_19,153,grain,NA,NA,NA,NA,NA
2013_25,153,grain,NA,NA,NA,NA,NA
2013_27,153,grain,NA,NA,NA,NA,NA
2013_29,153,grain,NA,NA,NA,NA,NA
2013_32,153,grain,NA,NA,NA,NA,NA
2013_33,153,grain,NA,NA,NA,NA,NA
2013_35,153,grain,NA,NA,NA,NA,NA
2013_42,153,grain,NA,NA,NA,NA,NA
2013_45,153,grain,NA,NA,NA,NA,NA
2013_49,153,grain,NA,NA,NA,NA,NA
2013_14,168,grain,NA,NA,NA,NA,NA
2013_16,168,grain,NA,NA,NA,NA,NA
2013_19,168,grain,NA,NA,NA,NA,NA
2013_25,168,grain,NA,NA,NA,NA,NA
2013_27,168,grain,NA,NA,NA,NA,NA
2013_29,168,grain,NA,NA,NA,NA,NA
2013_32,168,grain,NA,NA,NA,NA,NA
2013_33,168,grain,NA,NA,NA,NA,NA
2013_35,168,grain,NA,NA,NA,NA,NA
2013_42,168,grain,NA,NA,NA,NA,NA
2013_45,168,grain,NA,NA,NA,NA,NA
2013_49,168,grain,NA,NA,NA,NA,NA
2013_14,185,grain,NA,NA,NA,NA,NA
2013_16,185,grain,NA,NA,NA,NA,NA
2013_19,185,grain,NA,NA,NA,NA,NA
2013_25,185,grain,NA,NA,NA,NA,NA
2013_27,185,grain,NA,NA,NA,NA,NA
2013_29,185,grain,NA,NA,NA,NA,NA
2013_32,185,grain,NA,NA,NA,NA,NA
2013_33,185,grain,NA,NA,NA,NA,NA
2013_35,185,grain,NA,NA,NA,NA,NA
2013_42,185,grain,NA,NA,NA,NA,NA
2013_45,185,grain,NA,NA,NA,NA,NA
2013_49,185,grain,NA,NA,NA,NA,NA
2013_14,205,grain,NA,NA,NA,NA,NA
2013_16,205,grain,NA,NA,NA,NA,NA
2013_19,205,grain,NA,NA,NA,NA,NA
2013_25,205,grain,NA,NA,NA,NA,NA
2013_27,205,grain,NA,NA,NA,NA,NA
2013_29,205,grain,NA,NA,NA,NA,NA
2013_32,205,grain,NA,NA,NA,NA,NA
2013_33,205,grain,NA,NA,NA,NA,NA
2013_35,205,grain,NA,NA,NA,NA,NA
2013_42,205,grain,NA,NA,NA,NA,NA
2013_45,205,grain,NA,NA,NA,NA,NA
2013_49,205,grain,NA,NA,NA,NA,NA
2013_14,216,grain,NA,NA,NA,NA,NA
2013_16,216,grain,NA,NA,NA,NA,NA
2013_19,216,grain,NA,NA,NA,NA,NA
2013_25,216,grain,NA,NA,NA,NA,NA
2013_27,216,grain,NA,NA,NA,NA,NA
2013_29,216,grain,NA,NA,NA,NA,NA
2013_32,216,grain,NA,NA,NA,NA,NA
2013_33,216,grain,NA,NA,NA,NA,NA
2013_35,216,grain,NA,NA,NA,NA,NA
2013_42,216,grain,NA,NA,NA,NA,NA
2013_45,216,grain,NA,NA,NA,NA,NA
2013_49,216,grain,NA,NA,NA,NA,NA
2013_14,243,grain,361,150.537,4.296,35.042,1.19
2013_16,243,grain,306.5,130.538,3.721,35.082,1.21
2013_19,243,grain,347,147.336,3.949,37.311,1.14
2013_25,243,grain,353,153.273,4.568,33.555,1.29
2013_27,243,grain,285,122.493,3.42,35.817,1.2
2013_29,243,grain,384.5,164.835,4.453,37.021,1.16
2013_32,243,grain,355,151.479,4.065,37.266,1.15
2013_33,243,grain,330.5,141.487,4.594,30.799,1.39
2013_35,243,grain,268,115.83,3.144,36.846,1.17
2013_42,243,grain,344.5,148.893,4.379,34.005,1.271
2013_45,243,grain,344.5,149.306,3.9,38.286,1.132
2013_49,243,grain,472,199.373,5.626,35.436,1.192
2013_14,281,grain,454,189.55,5.38,35.23,1.19
2013_16,281,grain,455.5,190.85,5.35,35.66,1.18
2013_19,281,grain,386,167.49,4.39,38.13,1.138
2013_25,281,grain,455,197.52,5.25,37.65,1.15
2013_27,281,grain,430.5,186.15,4.43,42.06,1.03
2013_29,281,grain,637,278.69,6.99,39.88,1.097
2013_32,281,grain,530.5,228.54,6.13,37.27,1.16
2013_33,281,grain,396.5,166.05,4.37,37.97,1.1
2013_35,281,grain,443,184.91,5.18,35.68,1.17
2013_42,281,grain,421.5,180.02,5.84,30.84,1.39
2013_45,281,grain,404,175.98,4.85,36.3,1.2
2013_49,281,grain,665,285.75,7.74,36.92,1.164
NA,NA,grain,NA,NA,NA,NA,NA
NA,NA,grain,NA,NA,NA,NA,NA
NA,NA,grain,NA,NA,NA,NA,NA
NA,NA,grain,NA,NA,NA,NA,NA
2014_13,140,plant,0.21,0.098,0.009,10.967,4.251
2014_24,140,plant,0.24,0.11,0.011,10.353,4.443
2014_34,140,plant,0.2,0.093,0.009,10.706,4.364
2014_44,140,plant,0.22,0.103,0.01,10.413,4.48
2014_11,140,plant,0.2,NA,NA,NA,NA
2014_23,140,plant,0.2,0.092,0.008,10.885,4.236
2014_38,140,plant,0.21,0.094,0.008,11.498,3.904
2014_48,140,plant,0.24,0.113,0.01,11.693,4.028
2014_18,140,plant,0.18,0.085,0.008,10.641,4.432
2014_28,140,plant,0.24,0.111,0.01,11.06,4.197
2014_37,140,plant,0.15,0.069,0.007,10.02,4.614
2014_46,140,plant,0.17,0.081,0.007,10.915,4.359
2014_13,150,plant,3.09,NA,NA,NA,NA
2014_24,150,plant,3.78,1.708,0.149,11.455,3.95
2014_34,150,plant,2.47,1.085,0.093,11.655,3.77
2014_44,150,plant,4.15,1.87,0.154,12.119,3.72
2014_11,150,plant,2.98,1.336,0.1,13.378,3.35
2014_23,150,plant,4.85,2.196,0.185,11.878,3.81
2014_38,150,plant,3.61,1.626,0.131,12.459,3.62
2014_48,150,plant,2.58,1.198,0.09,13.276,3.5
2014_18,150,plant,3.49,1.586,0.134,11.879,3.83
2014_28,150,plant,4.54,2.05,0.183,11.206,4.03
