ID,block,system,depth,crop,date,wtPOMC,wtPOMN,pctTotalAg,PMN,FDA,whole_soil_N,whole_soil_C,SOM_vol,bulk_density,lengthpcm3soil,AvgDiam,rootpctC,root_CdN,sand,silt,clay,WFPS
23,2,3,0,O,5,2.255575977,0.181561953,60.449,26.71796546,0.903855431,0.14,1.6494,.,1.221063434,.,.,.,.,46,32,22,41.64882552
25,2,2,0,C,5,2.833385727,0.2147292,64.883,31.82549406,0.937599341,0.2,2.5856,.,1.052272096,.,.,.,.,33,46,21,35.10031289
27,2,3,0,C,5,1.730472373,0.1313944,72.321,17.58787003,0.6758388,0.2,2.6862,.,0.917913401,.,.,.,.,30,44,26,30.45323922
29,2,3,0,S,5,1.650892546,0.11970816,73.461,29.3743313,1.167951564,0.2,2.7,.,1.043099392,.,.,.,.,32,44,24,41.71858278
31,2,2,0,S,5,2.499095957,0.1606442,70.744,27.65763622,1.830976005,.,.,.,1.086975565,.,.,.,.,32,42,26,42.72114922
33,2,4,0,C,5,2.25140625,0.18745056,78.681,46.81415922,0.951184592,0.28,3.5836,.,0.970862247,.,.,.,.,33,41,26,30.40830071
35,2,4,0,S,5,2.253196071,0.17235918,79.029,35.09511481,0.933292331,0.29,3.631,.,0.894975652,.,.,.,.,28,45,27,35.80983134
37,3,4,0,A,5,3.000512064,0.2233539,69.41,60.36075763,1.390842025,0.25,3.1904,.,1.100435795,.,.,.,.,30,39,31,36.32191576
39,3,4,0,S,5,2.838720108,0.18578352,69.688,44.77615005,1.615597612,0.26,2.8862,.,1.036363596,.,.,.,.,32,39,29,37.73856068
41,3,3,0,C,5,2.389014414,0.174492,77.971,52.26484055,1.191226867,0.26,3.352,.,0.904376457,.,.,.,.,29,43,28,30.28584731
43,3,2,0,C,5,3.067703979,0.18226,61.689,64.54574375,1.754587882,0.24,3.2018,.,1.001873298,.,.,.,.,36,38,26,38.2388147
45,3,2,0,S,5,2.068397859,0.14468769,58.405,37.93303411,1.2646186,0.19,2.3632,.,1.087130784,.,.,.,.,46,35,19,39.90585849
47,3,3,0,S,5,1.762048855,0.1393854,55.396,32.14690532,1.018175923,0.17,2.2354,.,1.097819658,.,.,.,.,45,33,22,38.49443941
49,3,4,0,C,5,1.534853582,0.121978658,58.058,36.85428376,0.756621752,0.17,2.25,.,1.078562349,.,.,.,.,45,33,22,29.53345457
51,3,3,0,O,5,1.943544712,0.139343946,58.405,24.11782791,1.033927766,0.18,2.2894,.,1.132881538,.,.,.,.,44,36,20,37.71151732
53,3,4,0,O,5,1.20049478,0.076122106,68.796,43.06035889,1.093287188,0.2,2.6402,.,1.142348349,.,.,.,.,36,40,24,42.68702141
55,4,4,0,O,5,2.334872626,0.136096925,68.979,41.08427826,1.283089781,0.21,2.739,.,1.08376092,.,.,.,.,38,36,26,40.55536362
57,4,3,0,C,5,3.055228341,0.220393724,72.071,33.13641211,0.939753496,0.23,2.9932,.,0.901725976,.,.,.,.,38,34,28,28.92819224
59,4,4,0,A,5,2.571089529,0.180834275,73.947,58.40247888,1.347643882,0.26,3.256,.,1.040067632,.,.,.,.,30,40,30,33.68520066
61,4,2,0,C,5,2.576073814,0.17075333,71.085,35.92285004,1.090155173,0.34,4.2394,.,1.032199826,.,.,.,.,30,41,29,45.01299899
63,4,2,0,S,5,.,.,.,.,.,0.21,2.5776,.,.,.,.,.,.,42,31,27,.
65,4,4,0,C,5,2.220580345,0.168825746,76.969,26.40230143,0.731587381,0.25,3.1272,.,0.951780077,.,.,.,.,33,38,29,29.3852423
67,4,3,0,S,5,.,.,.,.,.,.,.,.,.,.,.,.,.,29,39,32,.
69,4,3,0,O,5,3.329867669,0.210451748,74.877,54.11198137,1.15695475,0.37,5.074,.,0.919828703,.,.,.,.,21,47,32,44.49375265
71,4,4,0,S,5,.,.,.,.,.,0.34,4.0502,.,.,.,.,.,.,22,43,35,.
2,1,3,10,C,1,.,.,62.31,.,.,0.22,2.8161,.,.,.,.,.,.,35,39,26,.
4,1,4,10,S,1,.,.,66.31,.,.,0.21,2.6711,.,.,.,.,.,.,34,40,26,.
6,1,2,10,C,1,.,.,66.38,.,.,0.18,2.2754,.,.,.,.,.,.,37,36,27,.
8,1,4,10,A,1,.,.,67.96,.,.,0.18,2.3526,.,.,.,.,.,.,40,33,27,.
10,1,3,10,O,1,.,.,69.46,.,.,0.24,3.1918,.,.,.,.,.,.,39,32,29,.
12,1,3,10,S,1,.,.,76.39,.,.,0.24,3.0778,.,.,.,.,.,.,37,34,29,.
14,1,4,10,C,1,.,.,62.82,.,.,0.21,2.828,.,.,.,.,.,.,43,33,24,.
16,1,4,10,O,1,.,.,64.83,.,.,0.17,2.1282,.,.,.,.,.,.,40,33,27,.
18,1,2,10,S,1,.,.,70.98,.,.,0.2,2.8376,.,.,.,.,.,.,30,40,30,.
